,Compound,Phase,Band gap (eV),VBM (eV),CBM (eV),Compound mass,Compound type,Phase index,Average radius,HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),Vacuum level (eV),VBM absolute (eV),CBM absolute (eV),HSE vacuum level (eV),HSE VBM absolute (eV),HSE CBM absolute (eV)
0,N,N_1,3.88086486486,-1.07486486486,2.82686486486,14.0067,V,1,56.0,0.0,-2.17372026,-2.17372026,,,,,,
1,N,N_2,0.0,2.756552,2.756552,14.0067,V,2,56.0,0.0,2.43604622,2.43604622,,,,,,
2,P,P_0,0.902201834862,-1.75020183486,-0.839798165138,30.9738,V,0,98.0,1.73682352941,-2.26341176471,-0.526588235294,3.29312970348,-5.04333153834,-4.132927868618,3.30433284764,-5.567744612349999,-3.830921082934
3,P,P_1,1.93317460317,-3.83317460317,-1.88982539683,30.9738,V,1,98.0,2.98188,-4.52344,-1.54156,2.34007712841,-6.17325173158,-4.22990252524,2.34946098014,-6.87290098014,-3.89102098014
4,As,As_0,0.806833333333,-2.09183333333,-1.27716666667,74.9216,V,0,114.0,1.5525,-2.57325,-1.02075,2.55400052497,-4.6458338583,-3.83116719164,2.55658398431,-5.12983398431,-3.57733398431
5,As,As_1,1.60337647059,-3.54837647059,-1.93562352941,74.9216,V,1,114.0,2.424,-4.061,-1.637,1.83633133913,-5.38470780972,-3.77195486854,1.84141547754,-5.90241547754,-3.47841547754
6,As,As_2,0.0,-0.65279706,-0.65279706,74.9216,V,2,114.0,0.0,-0.83622255,-0.83622255,3.37657635902,-4.02937341902,-4.02937341902,3.36421750061,-4.20044005061,-4.20044005061
7,Sb,Sb_0,0.1625,-0.6365,-0.4675,121.76,V,0,133.0,0.447,-0.8805,-0.4335,3.15382200496,-3.7903220049599997,-3.6213220049599997,3.14842200178,-4.02892200178,-3.58192200178
8,Sb,Sb_1,1.25917647059,-2.43917647059,-1.17182352941,121.76,V,1,133.0,1.84136842105,-2.84768421053,-1.00631578947,2.4133232106,-4.85249968119,-3.58514674001,2.41509188605,-5.26277609658,-3.4214076755200002
9,Bis,Bis_0,0.0,-0.74213571,-0.74213571,208.58,V,0,143.0,0.0,-0.82132123,-0.82132123,2.85202910558,-3.5941648155799997,-3.5941648155799997,2.83724690511,-3.6585681351100003,-3.6585681351100003
10,Bis,Bis_1,0.0,-1.24483363,-1.24483363,208.58,V,1,143.0,0.0,-1.34198628,-1.34198628,2.5710806647,-3.8159142947,-3.8159142947,2.56768455158,-3.90967083158,-3.90967083158
